key,instantationMoment,startDisplay,endDisplay,pictureLink,slogan,documentLink
banner-01,2000/01/01 00:00,2023/01/01 00:01,2024/12/31 23:59,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
#instantationMoment
banner-02,2000/01/01 00:00,2023/01/01 00:01,2024/12/31 23:59,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
banner-03,2000/01/01 00:00,2023/01/01 00:01,2024/12/31 23:59,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
banner-04,2022/07/30 00:00,2023/01/01 00:01,2024/12/31 23:59,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
banner-05,2020/06/29 23:59,2023/01/01 00:01,2024/12/31 23:59,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
banner-06,2020/02/29 00:00,2023/01/01 00:01,2024/12/31 23:59,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
#startDisplay,
banner-01-02,2000/01/01 00:00,2023/01/01 00:01,2200/12/31 23:59,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
banner-07,2000/01/01 00:00,2000/01/01 00:01,2200/12/31 23:59,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
banner-08,2000/01/01 00:00,2000/01/01 00:02,2200/12/31 23:59,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
banner-09,2000/01/01 00:00,2200/12/24 23:59,2200/12/31 23:59,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
banner-10,2000/01/01 00:00,2200/12/24 23:58,2200/12/31 23:59,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
banner-11,2000/01/01 00:00,2020/02/29 00:00,2200/12/31 23:59,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
#endDisplay,,
banner-01-03,2000/01/01 00:00,2000/01/01 00:01,2024/12/31 23:59,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
banner-57,2000/01/01 00:00,2000/01/01 00:01,2000/01/08 00:01,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
banner-58,2000/01/01 00:00,2000/01/01 00:01,2000/01/08 00:02,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
banner-59,2000/01/01 00:00,2000/01/01 00:01,2200/12/31 23:59,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
banner-50,2000/01/01 00:00,2000/01/01 00:01,2200/12/31 23:58,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
banner-51,2000/01/01 00:00,2000/01/01 00:01,2020/02/29 00:00,https://i.imgur.com/2eVF1HG.png,Good Banner,https://www.change.org/
#pictureLink
banner-17,2000/01/01 00:00,2023/01/01 00:01,2024/12/31 23:59,http://a?.masInfo.es,Good Banner,https://www.change.org/
